job_id,title,location,job_posting_url,application_url,job_state,experience_level,remote_allowed,salary,salary_band,skills,job_industry,company_name,experience_rank,cluster_id,is_anomaly
921716,Marketing Coordinator,"Princeton, NJ",https://www.linkedin.com/jobs/view/921716/?trk=jobs_biz_prem_srch,,NJ,Not Specified,0,38480.0,1,"Marketing, Sales",Real Estate,Corcoran Sawyer Smith,0,1,0
1829192,Mental Health Therapist/Counselor,"Fort Collins, CO",https://www.linkedin.com/jobs/view/1829192/?trk=jobs_biz_prem_srch,,CO,Not Specified,0,83200.0,4,Health Care Provider,,,0,1,0
10998357,Assitant Restaurant Manager,"Cincinnati, OH",https://www.linkedin.com/jobs/view/10998357/?trk=jobs_biz_prem_srch,,OH,Not Specified,0,55000.0,2,"Management, Manufacturing",Restaurants,The National Exemplar,0,1,0
23221523,Senior Elder Law / Trusts and Estates Associate Attorney,"New Hyde Park, NY",https://www.linkedin.com/jobs/view/23221523/?trk=jobs_biz_prem_srch,,NY,Not Specified,0,157500.0,6,Other,Law Practice,"Abrams Fensterman, LLP",0,2,1
35982263,Service Technician,"Burlington, IA",https://www.linkedin.com/jobs/view/35982263/?trk=jobs_biz_prem_srch,,IA,Not Specified,0,70000.0,3,Information Technology,Facilities Services,,0,1,0
91700727,Economic Development and Planning Intern,"Raleigh, NC",https://www.linkedin.com/jobs/view/91700727/?trk=jobs_biz_prem_srch,,NC,Not Specified,0,35360.0,1,Project Management,Non-profit Organization Management,Downtown Raleigh Alliance,0,1,0
103254301,Producer,United States,https://www.linkedin.com/jobs/view/103254301/?trk=jobs_biz_prem_srch,,,Not Specified,1,180000.0,6,"Art/Creative, Design, Information Technology",Design Services,Raw Cereal,0,4,1
112576855,Building Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/112576855/?trk=jobs_biz_prem_srch,,CA,Not Specified,0,105000.0,5,"Management, Manufacturing",Hospitality,,0,1,1
1218575,Respiratory Therapist,"Omaha, NE",https://www.linkedin.com/jobs/view/1218575/?trk=jobs_biz_prem_srch,www.childrensnebraska.org,NE,Not Specified,0,,0,Health Care Provider,Hospitals and Health Care,Children's Nebraska,0,3,0
2264355,Worship Leader,"Palm Bay, FL",https://www.linkedin.com/jobs/view/2264355/?trk=jobs_biz_prem_srch,,FL,Not Specified,0,728000.0,7,"Art/Creative, Design, Information Technology",Religious Institutions,Bay West Church,0,2,1
9615617,Inside Customer Service Associate,"Saginaw, MI",https://www.linkedin.com/jobs/view/9615617/?trk=jobs_biz_prem_srch,,MI,Not Specified,0,,0,,Beverage Manufacturing,"Glastender, Inc.",0,1,0
11009123,Project Architect,"St Louis, MO",https://www.linkedin.com/jobs/view/11009123/?trk=jobs_biz_prem_srch,,MO,Not Specified,0,,0,"Art/Creative, Design, Information Technology",Architecture and Planning,PGAV Destinations,0,1,0
56482768,Appalachian Highlands Women's Business Center,"Kingsport, TN",https://www.linkedin.com/jobs/view/56482768/?trk=jobs_biz_prem_srch,,TN,Not Specified,0,,0,,Non-profit Organizations,,0,1,0
